Statement Period,Transaction Month,Label,Artist,Parent Asset Title/Name,Child Asset Title/Name,Parent Asset Identifier,Child Asset Identifier,Release Catalog ID,Track Catalog ID,Format,Parent Asset ID,Child Asset ID,Account ID,Contract ID,Payee ID,Service,Channel,Territory,Quantity,Gross Revenue in USD,Mechanical Royalties Deducted,Contract Rate %,Net Revenue in USD,Your Share %,Amount Due in USD,Opening Balance in USD,Closing Balance in USD
2025-03,2024-05, Kishor Aive Official,Kishor Aive,Ami Morar Pore,Ami Morar Pore,,QZN882424490,,,Track,10844228,10844229,592185,792544,648298,Facebook Rights Manager,Claimed UGC,United Arab Emirates,3,0.0000019205,0,80,0.0000015364,100,0.0000015364,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Jibon Gari,Jibon Gari,,QZN882424327,,,Track,10844254,10844255,592185,792544,648298,Facebook Audio Library,Digital Licensing,Malaysia,11,0.0022319535,0,80,0.0017855628,100,0.0017855628,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Papi,Papi,,QZN882424335,,,Track,10844312,10844313,592185,792544,648298,Facebook Rights Manager,Claimed UGC,South Africa,1,0.0000013908,0,80,0.0000011126,100,0.0000011126,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Jibon Gari,Jibon Gari,7316479320635,QZN882424327,,,Track,10844254,10844255,592185,792544,648298,Amazon Prime,Subscription Streaming,Germany,2,0.0032440393,0,80,0.0025952314,100,0.0025952314,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ruper Pori,Ruper Pori,7316479320659,QZN882424329,,,Track,10844381,10844382,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,France,1,0.0009541292,0,80,0.0007633034,100,0.0007633034,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ki Jibon Dila Amare,Ki Jibon Dila Amare,7316479320789,QZN882424342,,,Track,10844245,10844246,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,United States,3,0.00474525,0,80,0.0037962,100,0.0037962,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,144 Dhara,144 Dhara,,QZN882424341,,,Track,10844384,10844385,592185,792544,648298,Facebook Audio Library,Digital Licensing,Pakistan,16,0.0000039623,0,80,0.0000031698,100,0.0000031698,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Chaira Gelo Praner Bondhu,Chaira Gelo Praner Bondhu,,QZN882424339,,,Track,10844455,10844456,592185,792544,648298,Facebook Rights Manager,Claimed UGC,Bangladesh,2,0.0000000446,0,80,0.0000000357,100,0.0000000357,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ki Jibon Dila Amare,Ki Jibon Dila Amare,7316479320789,QZN882424342,,,Track,10844245,10844246,592185,792544,648298,Amazon Prime,Subscription Streaming,United States,1,0.00174825,0,80,0.0013986,100,0.0013986,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ruper Pori,Ruper Pori,,QZN882424329,,,Track,10844381,10844382,592185,792544,648298,Facebook Audio Library,Digital Licensing,Philippines,1,0.0000004842,0,80,0.0000003874,100,0.0000003874,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Maf Korile Tomar Khoti Nai,Maf Korile Tomar Khoti Nai,7316479320697,QZN882424333,,,Track,10844546,10844547,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Italy,1,0.000620184,0,80,0.0004961472,100,0.0004961472,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ki Jibon Dila Amare,Ki Jibon Dila Amare,,QZN882424342,,,Track,10844245,10844246,592185,792544,648298,Facebook Audio Library,Digital Licensing,Saudi Arabia,4,0.0000033964,0,80,0.0000027171,100,0.0000027171,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Diba Nishi Puri,Diba Nishi Puri,7316479320741,QZN882424338,,,Track,10844357,10844358,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Argentina,1,0.000015725,0,80,0.00001258,100,0.00001258,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Diba Nishi Puri,Diba Nishi Puri,7316479320741,QZN882424338,,,Track,10844357,10844358,592185,792544,648298,Amazon Prime,Subscription Streaming,Japan,4,0.004801305,0,80,0.003841044,100,0.003841044,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ki Jibon Dila Amare,Ki Jibon Dila Amare,,QZN882424342,,,Track,10844245,10844246,592185,792544,648298,Facebook Audio Library,Digital Licensing,Kuwait,9,0.0026922586,0,80,0.0021538069,100,0.0021538069,,
2025-03,2025-01, Kishor Aive Official,Kishor Aive,Ore Kala,Ore Kala,,QZN882424337,,,Track,10844275,10844276,592185,792544,648298,YouTube Music,Ad-Supported Streaming,South Africa,1,0.0018589494,0,80,0.0014871595,100,0.0014871595,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Adhek Bacha Adhek Mora,Adhek Bacha Adhek Mora,,QZN882424495,,,Track,10844236,10844237,592185,792544,648298,Facebook Audio Library,Digital Licensing,Saudi Arabia,2,0.0000016982,0,80,0.0000013586,100,0.0000013586,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Kisher Bahaduri,Kisher Bahaduri,7316479320765,QZN882424340,,,Track,10844428,10844429,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Mexico,1,0.0004551,0,80,0.00036408,100,0.00036408,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,144 Dhara,144 Dhara,,QZN882424341,,,Track,10844384,10844385,592185,792544,648298,Facebook Audio Library,Digital Licensing,Saudi Arabia,1,0.0000008491,0,80,0.0000006793,100,0.0000006793,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Mukher Mayay Poira,Mukher Mayay Poira,,QZN882424492,,,Track,10844290,10844291,592185,792544,648298,Facebook Audio Library,Digital Licensing,Bangladesh,12,0.0000195512,0,80,0.000015641,100,0.000015641,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ki Jibon Dila Amare,Ki Jibon Dila Amare,,QZN882424342,,,Track,10844245,10844246,592185,792544,648298,Facebook Audio Library,Digital Licensing,India,1,0.0000001682,0,80,0.0000001346,100,0.0000001346,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,144 Dhara,144 Dhara,7316479320772,QZN882424341,,,Track,10844384,10844385,592185,792544,648298,Amazon Prime,Subscription Streaming,United States,1,0.00174825,0,80,0.0013986,100,0.0013986,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Diba Nishi Puri,Diba Nishi Puri,7316479320741,QZN882424338,,,Track,10844357,10844358,592185,792544,648298,Amazon Music Unlimited,Subscription Streaming,United Kingdom,1,0.005795658,0,80,0.0046365264,100,0.0046365264,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Diba Nishi Puri,Diba Nishi Puri,7316479320741,QZN882424338,,,Track,10844357,10844358,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Japan,1,0.0008402284,0,80,0.0006721827,100,0.0006721827,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,144 Dhara,144 Dhara,,QZN882424341,,,Track,10844384,10844385,592185,792544,648298,Facebook Audio Library,Digital Licensing,India,91,0.0000153109,0,80,0.0000122487,100,0.0000122487,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Beiman,Beiman,,QZN882424489,,,Track,10844191,10844192,592185,792544,648298,Facebook Audio Library,Digital Licensing,India,12,0.000254074,0,80,0.0002032592,100,0.0002032592,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Bukeri Pajore,Bukeri Pajore,7316479320963,QZN882424368,,,Track,10844370,10844371,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Chile,1,0.000391275,0,80,0.00031302,100,0.00031302,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Kolizate Pushlam Jare,Kolizate Pushlam Jare,7316479320666,QZN882424331,,,Track,10844506,10844507,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Italy,1,0.000620184,0,80,0.0004961472,100,0.0004961472,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Papi,Papi,,QZN882424335,,,Track,10844312,10844313,592185,792544,648298,Facebook Rights Manager,Claimed UGC,Portugal,8,0.0000132072,0,80,0.0000105658,100,0.0000105658,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Diba Nishi Puri,Diba Nishi Puri,7316479320741,QZN882424338,,,Track,10844357,10844358,592185,792544,648298,Amazon Music Unlimited,Subscription Streaming,Japan,1,0.0063783477,0,80,0.0051026782,100,0.0051026782,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Adhek Bacha Adhek Mora,Adhek Bacha Adhek Mora,,QZN882424495,,,Track,10844236,10844237,592185,792544,648298,Facebook Audio Library,Digital Licensing,India,40,0.0008613681,0,80,0.0006890945,100,0.0006890945,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ruper Pori,Ruper Pori,,QZN882424329,,,Track,10844381,10844382,592185,792544,648298,Facebook Audio Library,Digital Licensing,Malaysia,25,0.0000489501,0,80,0.0000391601,100,0.0000391601,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Kolizate Pushlam Jare,Kolizate Pushlam Jare,,QZN882424331,,,Track,10844506,10844507,592185,792544,648298,Facebook Audio Library,Digital Licensing,Bangladesh,12,0.0000195512,0,80,0.000015641,100,0.000015641,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Papi,Papi,7316479320710,QZN882424335,,,Track,10844312,10844313,592185,792544,648298,Amazon Music Ad Supported,Ad-Supported Streaming,Brazil,2,0.0004773,0,80,0.00038184,100,0.00038184,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Papi,Papi,,QZN882424335,,,Track,10844312,10844313,592185,792544,648298,Facebook Rights Manager,Claimed UGC,Saudi Arabia,143,0.0001197221,0,80,0.0000957777,100,0.0000957777,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Beiman,Beiman,,QZN882424489,,,Track,10844191,10844192,592185,792544,648298,Facebook Audio Library,Digital Licensing,Italy,9,0.000035732,0,80,0.0000285856,100,0.0000285856,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ajrail Ashibe Je Din Bari,Ajrail Ashibe Je Din Bari,7316479320703,QZN882424334,,,Track,10844555,10844556,592185,792544,648298,Amazon Prime,Subscription Streaming,United States,1,0.00174825,0,80,0.0013986,100,0.0013986,,
2025-03,2024-12, Kishor Aive Official,Dukhi Shahin,Beiman Priya,Beiman Priya,,QZN882424328,,,Track,10844251,10844252,592185,792544,648298,Facebook Audio Library,Digital Licensing,Italy,1,0.0000040647,0,80,0.0000032518,100,0.0000032518,,
2025-03,2024-12, Kishor Aive Official,Kishor Aive,Ruper Pori,Ruper Pori,,QZN882424329,,,Track,10844381,10844382,592185,792544,648298,Facebook Audio Library,Digital Licensing,Netherlands,1,0.0000065681,0,80,0.0000052545,100,0.0000052545,,
